"targets","layer","name","description","citation","units","filename","fld_value","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"AO","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","5.04","value","r_mora_s4_2013a.csv","value",,,,,,,FALSE,,,,,,,
"AO","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","5.05","value","rgn_wb_gdppcppp_rescaled_year_2013b.csv","value",,,,,,,FALSE,,,,,,,
"pressures CP","rnk_cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","","rank","cp_habitat_extent_rank.csv","extent_rank",,,,,,,FALSE,,,,,,,
"pressures CS","rnk_cs_habitat_extent","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","","km^2","cs_habitat_extent.csv","km2",,,,,,,FALSE,,,,,,,
"CW","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","5.58","trend score","GL-NCEAS_CW_Pesticides_trend_v2013a.csv","trend.score",,,,,,,FALSE,,,,,,,
"CW","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","5.19","trend score","GL-NCEAS_CW_Fertilizers_trend_v2013a.csv","trend.score",,,,,,,FALSE,,,,,,,
"CW","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities ","5.57","trend score","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv","trend",,,,,,,FALSE,,,,,,,
"CW","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","5.09","trend score","rgn_popn5yrtrend_inland25mi_2008to2013.csv","trend",,,,,,,FALSE,,,,,,,
"FIS NP","rn_fis_status","Fisheries status","Modeled fisheries status based on the Sea Around Us Project ","5.2","status score","FIS_Status_2013a_lyr.csv","status",,,,,,,FALSE,,,,,,,
"FIS","rn_fis_trend","Fisheries trend","Modeled fisheries trend based on the Sea Around Us Project (status)","5.2","trend score","FIS_Trend_2013a_lyr.csv","trend",,,,,,,FALSE,,,,,,,
"FP","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","5.2","value","GL_FP_wildcaught_weight_v2013a_lyr.csv","w_fis",,,,,,,FALSE,,,,,,,
"pressures HAB","rnk_hab_presence","Habitat presence","Modeled combined habitat presence","","boolean","hab_habitat_presence.csv","boolean",,,,,,,FALSE,,,,,,,
"HAB CS CP","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","","km^2","hab_habitat_extent.csv","km2",,,,,,,FALSE,,,,,,,
"HAB CS CP","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","","value","hab_habitat_health_disaggregatedNature2012.csv","health",,,,,,,FALSE,,,,,,,
"HAB CS CP","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","","trend score","hab_habitat_trend_disaggregatedNature2012.csv","trend",,,,,,,FALSE,,,,,,,
"ICO","rnk_ico_spp_extinction_status_value","SARA extinction risk value for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","5.29","value","ico_spp_extinction_status_value_Canada-CHONe.csv","value",,,,,,,FALSE,,,,,,,
"ICO","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","5.29","trend score","ico_spp_popn_trend.csv","popn_trend",,,,,,,FALSE,,,,,,,
"LE pressures","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","","value","le_sector_weight_disaggregateNature2012b.csv","weight",,,,,,,FALSE,,,,,,,
"LSP","rny_lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km","5.4","km^2","lsp_prot_area_inland1km.csv","area_km2",,,,,,,FALSE,,,,,,,
"LSP","rny_lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal marine protected areas offshore to 3nm","5.4","km^2","lsp_prot_area_offshore3nmb.csv","area_km2",,,,,,,FALSE,,,,,,,
"MAR","rn_mar_status","Mariculture status","Yield and value of cultured marine taxa from marine and brackish water environments","5.34","status score","GL_NCEAS_MAR_Status_v2013a_lyr.csv","status",,,,,,,FALSE,,,,,,,
"MAR","rn_mar_trend","Mariculture trend","Yield and value of cultured marine taxa from marine and brackish water environments","5.34","trend score","GL_NCEAS_MAR_Trend_v2013a_lyr.csv","trend",,,,,,,FALSE,,,,,,,
"NP","rnky_np_harvest_relative","Harvest of marine resources","Yield and value of six marine resources (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","5.51-5.53","value","np_harvest_relative_v2013a_updated_lyr_NAmanualoverride.csv","score",,,,,,,FALSE,,,,,,,
"NP","rnk_np_sustainability_score","Sustainability of marine resource harvest","Assigned sustainability based on Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) listed species","5.51-5.53","value","np_sustainability_v2013a_updated_lyr.csv","score",,,,,,,FALSE,,,,,,,
