order,goal,parent,name,weight,function_call
1.1,FIS,FP,Fisheries,0.5,FIS(layers)
1.2,FP,,Food Provision,1,
1.3,MAR,FP,Mariculture,0.5,
2,AO,,Artisanal Fishing Opportunity,1,"AO(layers, year_max=2012)"
3,NP,,Natural Products,1,
4,CS,,Carbon Storage,1,
5,CP,,Coastal Protection,1,
6,TR,,Tourism & Recreation,1,
7.1,LIV,LE,Livelihoods,0.5,
7.2,LE,,Coastal Livelihoods & Economies,1,
7.3,ECO,LE,Economies,0.5,
8.1,ICO,SP,Iconic Species,0.5,
8.2,SP,,Sense of Place,1,
8.3,LSP,SP,Lasting Special Places,0.5,
9,CW,,Clean Waters,1,
10.1,HAB,BD,Habitats,0.5,
10.2,BD,,Biodiversity,1,
10.3,SPP,BD,Species,0.5,
