"target","layer","name","description","fld_value","units","dir_2013a","fn_2013a","ingest"
"CW","rn_cw_chemical_trend","Pesticide consumption as a proxy for trend in chemical pollution","shipping as a proxy for oil pollution: trend assumed to be zero based on status of 0","trend","trend score","model/GL-AQ-CleanWaters_v2013/data","cw_chem_trend.csv",TRUE
"CW","rn_cw_trash_trend","Coastal human population as a proxy for trend in trash","trash: trend assumed to be zero based on status of 0","trend","trend score","model/GL-AQ-CleanWaters_v2013/data","cw_trash_trend.csv",TRUE
"FIS","fis_status","Modeled fisheries status",,"status","status score","model/GL-HS-AQ-Fisheries_v2013/Antarctica/data","FISstatus.csv",TRUE
"FIS","fis_trend","Modeled fisheries status",,"trend","trend score","model/GL-HS-AQ-Fisheries_v2013/Antarctica/data","FIStrend.csv",TRUE
"HAB_CS_CP","rnk_hab_extent","Habitat extent","Modeled combined habitat extent (sea ice extent and shoreline)","km2","km^2","model/GL-AQ-SeaIce_v2013/data","hab_habitat_extent_2013.csv",TRUE
"HAB_CS_CP","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend (sea ice extent and shoreline)","health","value","model/GL-AQ-SeaIce_v2013/data","hab_habitat_health_2013.csv",TRUE
"HAB_CS_CP","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend (sea ice extent and shoreline)","trend","trend score","model/GL-AQ-SeaIce_v2013/data","hab_habitat_trend_2013.csv",TRUE
"ICO","rn_ico_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","status score","model/GL-HS-AQ-Iconics_v2013/data","rgn_ico_score_2013_AQ.csv",TRUE
"ICO","rn_ico_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","trend score","model/GL-HS-AQ-Iconics_v2013/data","rgn_ico_trend_2013_AQ.csv",TRUE
"ECO","rn_eco","crew data for tourism and fisheries",,"crew","crew","model/GL-AQ-ECO_v2013/data","ECOdata.csv",TRUE
"LSP","rny_lsp_prot_area_status","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","status","status","model/GL-AQ-LSP_v2013/data","status.csv",TRUE
